LED_CHAMBER_2022
DATE: 2023-2-2
TIME: 13:11:44
(START)WAIT_TIME: 10 MIN
LED_RATE: 10
LED_VALUE: 0.0 10.0 20.0 30.0 40.0 50.0 60.0 70.0 80.0 90.0 100
CYCLE_COUNT: 120 CYCLE_MINUTE: 20.0 MINUTE
STIR_PUMP_RATE: 30 ML/MIN

NO LED_RATE NO_CYCLE DATE TIME OXYZEN_VALUE TEMP_VALUE
142 1 22 2023-2-2 13:45:31 254.6 23.69
143 1 23 2023-2-2 13:45:41 255.83 23.69
144 1 24 2023-2-2 13:45:51 255.17 23.69
145 1 25 2023-2-2 13:46:1 255.34 23.69
146 1 26 2023-2-2 13:46:11 254.5 23.69
147 1 27 2023-2-2 13:46:21 255.83 23.69
148 1 28 2023-2-2 13:46:31 255.63 23.69
149 1 29 2023-2-2 13:46:41 255.08 23.66
150 1 30 2023-2-2 13:46:51 254.57 23.69
151 1 31 2023-2-2 13:47:1 255.71 23.66
152 1 32 2023-2-2 13:47:11 256.34 23.66
153 1 33 2023-2-2 13:47:21 254.63 23.66
154 1 34 2023-2-2 13:47:31 255.35 23.66
155 1 35 2023-2-2 13:47:41 255.57 23.66
156 1 36 2023-2-2 13:47:51 256.15 23.66
157 1 37 2023-2-2 13:48:1 255.37 23.66
158 1 38 2023-2-2 13:48:11 254.99 23.66
159 1 39 2023-2-2 13:48:21 256.05 23.66
160 1 40 2023-2-2 13:48:31 255.57 23.66
161 1 41 2023-2-2 13:48:41 256.06 23.63
162 1 42 2023-2-2 13:48:51 254.9 23.63
163 1 43 2023-2-2 13:49:1 256.2 23.63
164 1 44 2023-2-2 13:49:11 256.06 23.63
165 1 45 2023-2-2 13:49:21 255.81 23.63
166 1 46 2023-2-2 13:49:31 254.97 23.63
167 1 47 2023-2-2 13:49:41 255.81 23.63
168 1 48 2023-2-2 13:49:51 256.37 23.63
169 1 49 2023-2-2 13:50:1 255.24 23.63
170 1 50 2023-2-2 13:50:11 255.5 23.63
171 1 51 2023-2-2 13:50:21 255.33 23.63
172 1 52 2023-2-2 13:50:31 256.86 23.61
173 1 53 2023-2-2 13:50:41 255.4 23.63
174 1 54 2023-2-2 13:50:51 255.6 23.61
175 1 55 2023-2-2 13:51:1 256.04 23.61
176 1 56 2023-2-2 13:51:11 256.01 23.61
177 1 57 2023-2-2 13:51:21 256.33 23.61
178 1 58 2023-2-2 13:51:31 254.98 23.61
179 1 59 2023-2-2 13:51:41 256.18 23.61
180 1 60 2023-2-2 13:51:52 256.04 23.61
181 1 61 2023-2-2 13:52:2 256.01 23.61
182 1 62 2023-2-2 13:52:11 255.17 23.61
183 1 63 2023-2-2 13:52:21 256.48 23.58
184 1 64 2023-2-2 13:52:32 256.3 23.61
185 1 65 2023-2-2 13:52:41 256.12 23.58
186 1 66 2023-2-2 13:52:52 255.63 23.58
187 1 67 2023-2-2 13:53:2 255.32 23.58
188 1 68 2023-2-2 13:53:12 256.92 23.58
189 1 69 2023-2-2 13:53:22 255.73 23.58
190 1 70 2023-2-2 13:53:32 256.05 23.58
191 1 71 2023-2-2 13:53:42 255.73 23.58
192 1 72 2023-2-2 13:53:52 256.66 23.55
193 1 73 2023-2-2 13:54:2 256.36 23.58
194 1 74 2023-2-2 13:54:12 255.4 23.55
195 1 75 2023-2-2 13:54:22 256.05 23.55
196 1 76 2023-2-2 13:54:32 256.39 23.55
197 1 77 2023-2-2 13:54:42 256.73 23.55
198 1 78 2023-2-2 13:54:52 255.14 23.55
199 1 79 2023-2-2 13:55:2 256.44 23.55
200 1 80 2023-2-2 13:55:12 256.69 23.52
201 1 81 2023-2-2 13:55:22 256.35 23.52
202 1 82 2023-2-2 13:55:32 256.35 23.52
203 1 83 2023-2-2 13:55:42 255.48 23.52
204 1 84 2023-2-2 13:55:52 257.2 23.52
205 1 85 2023-2-2 13:56:2 255.89 23.52
206 1 86 2023-2-2 13:56:12 256.35 23.52
207 1 87 2023-2-2 13:56:22 255.82 23.52
208 1 88 2023-2-2 13:56:32 256.81 23.52
209 1 89 2023-2-2 13:56:42 256.66 23.52
210 1 90 2023-2-2 13:56:52 255.94 23.49
211 1 91 2023-2-2 13:57:2 256.14 23.49
212 1 92 2023-2-2 13:57:12 256.38 23.49
213 1 93 2023-2-2 13:57:22 257.32 23.49
214 1 94 2023-2-2 13:57:32 255.71 23.47
215 1 95 2023-2-2 13:57:42 256.65 23.47
216 1 96 2023-2-2 13:57:52 256.94 23.47
217 1 97 2023-2-2 13:58:2 257.11 23.47
218 1 98 2023-2-2 13:58:12 256.17 23.47
219 1 99 2023-2-2 13:58:22 255.9 23.47
220 1 100 2023-2-2 13:58:32 257.21 23.47
221 1 101 2023-2-2 13:58:42 256.55 23.47
222 1 102 2023-2-2 13:58:52 256.65 23.47
223 1 103 2023-2-2 13:59:2 256.36 23.47
224 1 104 2023-2-2 13:59:12 257.17 23.44
225 1 105 2023-2-2 13:59:22 257.07 23.44
226 1 106 2023-2-2 13:59:32 256.39 23.44
227 1 107 2023-2-2 13:59:42 256.54 23.44
228 1 108 2023-2-2 13:59:52 256.97 23.44
229 1 109 2023-2-2 14:0:2 257.75 23.44
230 1 110 2023-2-2 14:0:12 255.64 23.44
231 1 111 2023-2-2 14:0:22 257.04 23.44
232 1 112 2023-2-2 14:0:32 257.04 23.44
233 1 113 2023-2-2 14:0:42 257.32 23.41
234 1 114 2023-2-2 14:0:52 256.45 23.41
235 1 115 2023-2-2 14:1:2 256.08 23.44
236 1 116 2023-2-2 14:1:12 257.8 23.41
237 1 117 2023-2-2 14:1:22 256.76 23.41
238 1 118 2023-2-2 14:1:32 256.8 23.44
239 1 119 2023-2-2 14:1:42 256.3 23.41
240 1 120 2023-2-2 14:1:52 257.14 23.44
241 2 1 2023-2-2 14:2:4 256.52 23.41
242 2 2 2023-2-2 14:2:14 257.04 23.44
243 2 3 2023-2-2 14:2:24 257.24 23.44
244 2 4 2023-2-2 14:2:34 256.32 23.44
245 2 5 2023-2-2 14:2:44 256.1 23.44
246 2 6 2023-2-2 14:2:54 256.99 23.47
247 2 7 2023-2-2 14:3:4 256.8 23.47
248 2 8 2023-2-2 14:3:14 255.95 23.47
249 2 9 2023-2-2 14:3:24 256.38 23.49
250 2 10 2023-2-2 14:3:34 256.81 23.49
251 2 11 2023-2-2 14:3:44 256.5 23.49
252 2 12 2023-2-2 14:3:54 256.48 23.49
253 2 13 2023-2-2 14:4:4 255.91 23.52
254 2 14 2023-2-2 14:4:14 256.69 23.52
255 2 15 2023-2-2 14:4:24 255.91 23.55
256 2 16 2023-2-2 14:4:35 256.03 23.55
257 2 17 2023-2-2 14:4:45 255.71 23.55
258 2 18 2023-2-2 14:4:55 256.2 23.55
259 2 19 2023-2-2 14:5:4 256.7 23.58
260 2 20 2023-2-2 14:5:14 255.71 23.58
261 2 21 2023-2-2 14:5:24 255.1 23.61
262 2 22 2023-2-2 14:5:34 256.35 23.61
263 2 23 2023-2-2 14:5:45 255.81 23.63
264 2 24 2023-2-2 14:5:55 254.83 23.63
265 2 25 2023-2-2 14:6:5 255.43 23.63
266 2 26 2023-2-2 14:6:15 255.77 23.63
267 2 27 2023-2-2 14:6:25 255.57 23.66
268 2 28 2023-2-2 14:6:35 254.81 23.69
269 2 29 2023-2-2 14:6:45 254.79 23.69
270 2 30 2023-2-2 14:6:55 255.56 23.69
271 2 31 2023-2-2 14:7:5 255.17 23.72
272 2 32 2023-2-2 14:7:15 254.85 23.72
273 2 33 2023-2-2 14:7:25 254.42 23.75
274 2 34 2023-2-2 14:7:35 255.11 23.75
275 2 35 2023-2-2 14:7:45 255.67 23.75
276 2 36 2023-2-2 14:7:55 254.58 23.78
277 2 37 2023-2-2 14:8:5 254.0 23.78
278 2 38 2023-2-2 14:8:15 254.86 23.81
279 2 39 2023-2-2 14:8:25 254.61 23.83
280 2 40 2023-2-2 14:8:35 253.77 23.83
281 2 41 2023-2-2 14:8:45 254.27 23.83
282 2 42 2023-2-2 14:8:55 254.24 23.86
283 2 43 2023-2-2 14:9:5 254.46 23.86
284 2 44 2023-2-2 14:9:15 254.12 23.86
285 2 45 2023-2-2 14:9:25 253.9 23.89
286 2 46 2023-2-2 14:9:35 253.99 23.92
287 2 47 2023-2-2 14:9:45 254.13 23.92
288 2 48 2023-2-2 14:9:55 254.01 23.92
289 2 49 2023-2-2 14:10:5 253.52 23.95
290 2 50 2023-2-2 14:10:15 253.36 23.95
291 2 51 2023-2-2 14:10:25 254.12 23.98
292 2 52 2023-2-2 14:10:35 253.64 23.98
293 2 53 2023-2-2 14:10:45 253.01 23.98
